ground_truth_source;ground_truth_mp4;filename;true_positive;similarity_2;similarity_3;similarity_4
Pika2.2;omniflash;AI01_02_synth.mp4;False;0.65;0.534884;0.444444
Pika2.2;omniflash;AI01_04_df.mp4;False;0.65;0.534884;0.444444
Pika2.2;veo3.1;AI02_02_synth.mp4;False;0.615385;0.5;0.409091
Pika2.2;veo3.1;AI02_04_df.mp4;False;0.65;0.534884;0.444444
Pika2.2;imagine0.9;AI03_02_df.mp4;False;0.692308;0.571429;0.477273
Pika2.2;imagine1.5;AI04_02_df.mp4;False;0.692308;0.571429;0.477273
Pika2.2;imagine1.5;AI04_04_df.mp4;False;0.692308;0.571429;0.477273
Pika2.2;imagine1.5;AI04_06_df.mp4;False;0.692308;0.571429;0.477273
Pika2.2;imagine1.5;AI04_08_df.mp4;False;0.692308;0.571429;0.477273
Pika2.2;imagine1.5;AI04_10_synth.mp4;False;0.692308;0.571429;0.477273
Pika2.2;imagine1.5;AI04_12_synth.mp4;False;0.692308;0.571429;0.477273
Pika2.2;imagine1.5;AI04_15_df.mp4;False;0.675;0.55814;0.466667
Pika2.2;klingaivideo2.6;AI05_02_synth.mp4;False;0.870968;0.8;0.724138
Pika2.2;klingaivideo3.0;AI06_02_synth.mp4;False;0.870968;0.8;0.724138
Pika2.2;sora2;AI07_02_synth.mp4;False;0.65;0.534884;0.444444
Pika2.2;sora2;AI07_04_synth.mp4;False;0.65;0.534884;0.444444
Pika2.2;sora2;AI07_06_synth.mp4;False;0.65;0.534884;0.444444
Pika2.2;sora2;AI07_08_synth.mp4;False;0.65;0.534884;0.444444
Pika2.2;sora2;AI07_10_df.mp4;False;0.65;0.534884;0.444444
Pika2.2;pika1.5;AI08_02_df.mp4;False;0.692308;0.571429;0.477273
Pika2.2;pika1.5;AI08_04_df.mp4;False;0.692308;0.571429;0.477273
Pika2.2;pika2.0;AI09_02_df.mp4;False;0.931034;0.892857;0.888889
Pika2.2;pika2.0;AI09_04_df.mp4;False;0.931034;0.892857;0.888889
Pika2.2;pika2.2;AI10_02_df.mp4;True;1.0;1.0;1.0
Pika2.2;pika2.2;AI10_04_df.mp4;True;1.0;1.0;1.0
Pika2.2;pika2.5;AI11_02_df.mp4;False;0.692308;0.571429;0.477273
Pika2.2;pika2.5;AI11_04_df.mp4;False;0.692308;0.571429;0.477273
Pika2.2;pika2.5;AI11_06_synth.mp4;False;0.933333;0.896552;0.857143
Pika2.2;pika2.5;AI11_08_synth.mp4;False;0.931034;0.892857;0.888889
Pika2.2;pika2.5;AI11_10_df.mp4;False;0.933333;0.896552;0.857143
