ground_truth_source;ground_truth_mp4;filename;true_positive;similarity_2;similarity_3;similarity_4
OmniFlash;omniflash;AI01_02_synth.mp4;True;1.0;1.0;1.0
OmniFlash;omniflash;AI01_04_df.mp4;True;1.0;1.0;1.0
OmniFlash;veo3.1;AI02_02_synth.mp4;False;0.948718;0.928571;0.931818
OmniFlash;veo3.1;AI02_04_df.mp4;False;1.0;1.0;1.0
OmniFlash;imagine0.9;AI03_02_df.mp4;False;0.974359;0.97619;0.977273
OmniFlash;imagine1.5;AI04_02_df.mp4;False;0.974359;0.97619;0.977273
OmniFlash;imagine1.5;AI04_04_df.mp4;False;0.974359;0.97619;0.977273
OmniFlash;imagine1.5;AI04_06_df.mp4;False;0.974359;0.97619;0.977273
OmniFlash;imagine1.5;AI04_08_df.mp4;False;0.974359;0.97619;0.977273
OmniFlash;imagine1.5;AI04_10_synth.mp4;False;0.974359;0.97619;0.977273
OmniFlash;imagine1.5;AI04_12_synth.mp4;False;0.974359;0.97619;0.977273
OmniFlash;imagine1.5;AI04_15_df.mp4;False;0.925;0.906977;0.888889
OmniFlash;klingaivideo2.6;AI05_02_synth.mp4;False;0.870968;0.8;0.724138
OmniFlash;klingaivideo3.0;AI06_02_synth.mp4;False;0.870968;0.8;0.724138
OmniFlash;sora2;AI07_02_synth.mp4;False;1.0;1.0;1.0
OmniFlash;sora2;AI07_04_synth.mp4;False;1.0;1.0;1.0
OmniFlash;sora2;AI07_06_synth.mp4;False;1.0;1.0;1.0
OmniFlash;sora2;AI07_08_synth.mp4;False;1.0;1.0;1.0
OmniFlash;sora2;AI07_10_df.mp4;False;1.0;1.0;1.0
OmniFlash;pika1.5;AI08_02_df.mp4;False;0.974359;0.97619;0.977273
OmniFlash;pika1.5;AI08_04_df.mp4;False;0.974359;0.97619;0.977273
OmniFlash;pika2.0;AI09_02_df.mp4;False;0.862069;0.75;0.666667
OmniFlash;pika2.0;AI09_04_df.mp4;False;0.862069;0.75;0.666667
OmniFlash;pika2.2;AI10_02_df.mp4;False;0.896552;0.821429;0.740741
OmniFlash;pika2.2;AI10_04_df.mp4;False;0.896552;0.821429;0.740741
OmniFlash;pika2.5;AI11_02_df.mp4;False;0.974359;0.97619;0.977273
OmniFlash;pika2.5;AI11_04_df.mp4;False;0.974359;0.97619;0.977273
OmniFlash;pika2.5;AI11_06_synth.mp4;False;0.933333;0.896552;0.857143
OmniFlash;pika2.5;AI11_08_synth.mp4;False;0.862069;0.75;0.666667
OmniFlash;pika2.5;AI11_10_df.mp4;False;0.933333;0.896552;0.857143
